"id";"descripcion";"precio";"oficinas_id";"cod_SPAFE";"cod_MINCYT";"cuentas_idcuentas"
40;"Armario blanco con cerradura de dos puertas. Medidas: 90 x 75 x 40,5 cm.";140000.0;0;"";28049;294
41;"Armario blanco con cerradura de dos puertas. Medidas: 90 x 75 x 40,5 cm.";140000.0;0;"";28050;294
42;"Armario blanco con cerradura de dos puertas. Medidas: 90 x 75 x 40,5 cm.";140000.0;0;"";28051;294
43;"Armario blanco con cerradura de dos puertas. Medidas: 90 x 75 x 40,5 cm.";140000.0;0;"";28052;294
44;"Armario blanco con cerradura de dos puertas. Medidas: 90 x 75 x 40,5 cm.";140000.0;0;"";28053;294
45;"Armario blanco con cerradura de dos puertas. Medidas: 90 x 75 x 40,5 cm.";140000.0;0;"";28054;294
46;"Cañón proyector Resolución WXGA 3600 Lumes - Marca: ViewSonic - Modelo: PG603W - SN: V2T200801104
";1000000.0;0;"";28055;647
47;"Sillon , respaldo con tela de red y asiento tapizado, giratoria, mecanismo syncro multipoint, regulable en altura, brazos fijos, apoyo lumbar regulable, base estrella plastica con ruedas de 60mm.";100000.0;0;"";28056;679
48;"Sillon , respaldo con tela de red y asiento tapizado, giratoria, mecanismo syncro multipoint, regulable en altura, brazos fijos, apoyo lumbar regulable, base estrella plastica con ruedas de 60mm.";100000.0;0;"";28057;679
49;"Sillon , respaldo con tela de red y asiento tapizado, giratoria, mecanismo syncro multipoint, regulable en altura, brazos fijos, apoyo lumbar regulable, base estrella plastica con ruedas de 60mm.";100000.0;0;"";28058;679
50;"Sillon , respaldo con tela de red y asiento tapizado, giratoria, mecanismo syncro multipoint, regulable en altura, brazos fijos, apoyo lumbar regulable, base estrella plastica con ruedas de 60mm.";100000.0;0;"";28059;679
51;"Sillon , respaldo con tela de red y asiento tapizado, giratoria, mecanismo syncro multipoint, regulable en altura, brazos fijos, apoyo lumbar regulable, base estrella plastica con ruedas de 60mm.";100000.0;0;"";28060;679
52;"Sillon , respaldo con tela de red y asiento tapizado, giratoria, mecanismo syncro multipoint, regulable en altura, brazos fijos, apoyo lumbar regulable, base estrella plastica con ruedas de 60mm.";100000.0;0;"";28061;679
53;"Sillon , respaldo con tela de red y asiento tapizado, giratoria, mecanismo syncro multipoint, regulable en altura, brazos fijos, apoyo lumbar regulable, base estrella plastica con ruedas de 60mm.";100000.0;0;"";28062;679
54;"Sillon , respaldo con tela de red y asiento tapizado, giratoria, mecanismo syncro multipoint, regulable en altura, brazos fijos, apoyo lumbar regulable, base estrella plastica con ruedas de 60mm.";100000.0;0;"";28063;679
55;"Sillon , respaldo con tela de red y asiento tapizado, giratoria, mecanismo syncro multipoint, regulable en altura, brazos fijos, apoyo lumbar regulable, base estrella plastica con ruedas de 60mm.";100000.0;0;"";28064;679
56;"Sillon , respaldo con tela de red y asiento tapizado, giratoria, mecanismo syncro multipoint, regulable en altura, brazos fijos, apoyo lumbar regulable, base estrella plastica con ruedas de 60mm.";100000.0;0;"";28065;679
57;"Sillon , respaldo con tela de red y asiento tapizado, giratoria, mecanismo syncro multipoint, regulable en altura, brazos fijos, apoyo lumbar regulable, base estrella plastica con ruedas de 60mm.";100000.0;0;"";28066;679
58;"Sillon , respaldo con tela de red y asiento tapizado, giratoria, mecanismo syncro multipoint, regulable en altura, brazos fijos, apoyo lumbar regulable, base estrella plastica con ruedas de 60mm.";100000.0;0;"";28067;679
59;"Sillon , respaldo con tela de red y asiento tapizado, giratoria, mecanismo syncro multipoint, regulable en altura, brazos fijos, apoyo lumbar regulable, base estrella plastica con ruedas de 60mm.";100000.0;0;"";28068;679
60;"Sillon , respaldo con tela de red y asiento tapizado, giratoria, mecanismo syncro multipoint, regulable en altura, brazos fijos, apoyo lumbar regulable, base estrella plastica con ruedas de 60mm.";100000.0;0;"";28069;679
61;"Sillon , respaldo con tela de red y asiento tapizado, giratoria, mecanismo syncro multipoint, regulable en altura, brazos fijos, apoyo lumbar regulable, base estrella plastica con ruedas de 60mm.";100000.0;0;"";28070;679
62;"Silla , asiento y respaldo plástico, apilable, base trineo pintada color ALUMINIO.";20000.0;0;"";28071;677
63;"Silla , asiento y respaldo plástico, apilable, base trineo pintada color ALUMINIO.";20000.0;0;"";28072;677
64;"Silla , asiento y respaldo plástico, apilable, base trineo pintada color ALUMINIO.";20000.0;0;"";28073;677
65;"Silla , asiento y respaldo plástico, apilable, base trineo pintada color ALUMINIO.";20000.0;0;"";28074;677
66;"Silla , asiento y respaldo plástico, apilable, base trineo pintada color ALUMINIO.
";20000.0;0;"";28075;677
67;"Silla , asiento y respaldo plástico, apilable, base trineo pintada color ALUMINIO.
";20000.0;0;"";28076;677
68;"Escritorio 140x70cm base en aluminio anodizado natural, tapa melamina.";200000.0;0;"";28077;450
69;"Escritorio 140x70cm base en aluminio anodizado natural, tapa melamina - Tapafalda melaminico de largo 120 x 30 cm de alto

";200000.0;0;"";28078;450
70;"Escritorio 140x70cm base en aluminio anodizado natural, tapa melamina - Tapafalda melaminico de largo 120 x 30 cm de alto

";200000.0;0;"";28079;450
71;"Cajonera rodante de Melamina de 3 cajones, con cerradura multiple NUMLOCK, 47 x H.58cm.x 45.";80000.0;0;"";28080;339
72;"Cajonera rodante de Melamina de 3 cajones, con cerradura multiple NUMLOCK, 47 x H.58cm.x 45.";80000.0;262;"";28081;339
73;"Cajonera rodante de Melamina de 3 cajones, con cerradura multiple NUMLOCK, 47 x H.58cm.x 45.";80000.0;0;"";28082;339
74;"Armario blanco con cerradura de dos puertas. Medidas: 90 x 75 x 40,5 cm.";140000.0;0;"";28083;294
75;"Armario blanco con cerradura de dos puertas. Medidas: 90 x 75 x 40,5 cm.";140000.0;0;"";28084;294
76;"Armario blanco con cerradura de dos puertas. Medidas: 90 x 75 x 40,5 cm.";140000.0;0;"";28085;294
77;"Armario blanco con cerradura de dos puertas. Medidas: 90 x 75 x 40,5 cm.";140000.0;0;"";28086;294
78;"Armario blanco con cerradura de dos puertas. Medidas: 90 x 75 x 40,5 cm.";140000.0;0;"";28087;294
79;"Armario blanco con cerradura de dos puertas. Medidas: 90 x 75 x 40,5 cm.";140000.0;0;"";28088;294
80;"Cajonera rodante de Melamina de 3 cajones, con cerradura multiple NUMLOCK, 47 x H.58cm.x 45.";80000.0;0;"";28089;339
81;"Cajonera rodante de Melamina de 3 cajones, con cerradura multiple NUMLOCK, 47 x H.58cm.x 45.";80000.0;0;"";28090;339
82;"Cajonera rodante de Melamina de 3 cajones, con cerradura multiple NUMLOCK, 47 x H.58cm.x 45.";80000.0;0;"";28091;339
83;"Cajonera rodante de Melamina de 3 cajones, con cerradura multiple NUMLOCK, 47 x H.58cm.x 45.";80000.0;0;"";28092;339
84;"Cajonera rodante de Melamina de 3 cajones, con cerradura multiple NUMLOCK, 47 x H.58cm.x 45.";80000.0;0;"";28093;339
85;"Cajonera rodante de Melamina de 3 cajones, con cerradura multiple NUMLOCK, 47 x H.58cm.x 45.";80000.0;0;"";28094;339
86;"Mochila con puerta rebatible y cerradura 80 x h 40 x prof. 35cm.";100000.0;0;"";28095;294
87;"Mochila con puerta rebatible y cerradura 80 x h 40 x prof. 35cm.";100000.0;0;"";28096;294
88;"Mochila con puerta rebatible y cerradura 80 x h 40 x prof. 35cm.";100000.0;0;"";28097;294
89;"Mochila con puerta rebatible y cerradura 80 x h 40 x prof. 35cm.";100000.0;0;"";28098;294
90;"Mochila con puerta rebatible y cerradura 80 x h 40 x prof. 35cm.";100000.0;0;"";28099;294
91;"Mochila con puerta rebatible y cerradura 80 x h 40 x prof. 35cm.";100000.0;0;"";28100;294
92;"Puesto 2 posiciones 140 x 70 sin Panel divisor, NO COMPARTIDO.";150000.0;0;"";28101;0
93;"Puesto 2 posiciones 140 x 70 sin Panel divisor, NO COMPARTIDO.";150000.0;0;"";28102;0
94;"Puesto 2 posiciones 140 x 70 sin Panel divisor, NO COMPARTIDO.";150000.0;0;"";28103;0
95;"Puesto 2 posiciones 140 x 70 sin Panel divisor, NO COMPARTIDO.";150000.0;0;"";28104;0
96;"Puesto 2 posiciones 140 x 70 sin Panel divisor, NO COMPARTIDO.";150000.0;0;"";28105;0
97;"Puesto 2 posiciones 140 x 70 sin Panel divisor, NO COMPARTIDO.";150000.0;0;"";28106;0
98;"Mesa de reunión 270 x 120, tapa melamina.
";350000.0;0;"";28107;579
99;"Biblioteca con puertas y cerradura 96 x H192,5 x 40.5cm 6 estantes regulables.";100000.0;0;"";28108;315
100;"Biblioteca con puertas y cerradura 96 x H192,5 x 40.5cm 6 estantes regulables.";100000.0;0;"";28109;315
101;"Biblioteca con puertas y cerradura 96 x H192,5 x 40.5cm 6 estantes regulables.";100000.0;0;"";28110;315
102;"Perchero, Ac. Inox.";40000.0;0;"";28111;628
103;"Sillon , respaldo con tela de red y asiento tapizado, giratoria, mecanismo syncro multipoint, regulable en altura, brazos fijos, apoyo lumbar regulable, base estrella plastica con ruedas de 60mm.";100000.0;0;"";28112;679
104;"Sillon , respaldo con tela de red y asiento tapizado, giratoria, mecanismo syncro multipoint, regulable en altura, brazos fijos, apoyo lumbar regulable, base estrella plastica con ruedas de 60mm.";100000.0;0;"";28113;679
105;"Sillon , respaldo con tela de red y asiento tapizado, giratoria, mecanismo syncro multipoint, regulable en altura, brazos fijos, apoyo lumbar regulable, base estrella plastica con ruedas de 60mm.";100000.0;0;"";28114;679
106;"Sillon , respaldo con tela de red y asiento tapizado, giratoria, mecanismo syncro multipoint, regulable en altura, brazos fijos, apoyo lumbar regulable, base estrella plastica con ruedas de 60mm.";100000.0;0;"";28115;679
107;"Sillon , respaldo con tela de red y asiento tapizado, giratoria, mecanismo syncro multipoint, regulable en altura, brazos fijos, apoyo lumbar regulable, base estrella plastica con ruedas de 60mm.";100000.0;0;"";28116;679
108;"Sillon , respaldo con tela de red y asiento tapizado, giratoria, mecanismo syncro multipoint, regulable en altura, brazos fijos, apoyo lumbar regulable, base estrella plastica con ruedas de 60mm.";100000.0;0;"";28117;679
109;"Sillon , respaldo con tela de red y asiento tapizado, giratoria, mecanismo syncro multipoint, regulable en altura, brazos fijos, apoyo lumbar regulable, base estrella plastica con ruedas de 60mm.";100000.0;0;"";28118;679
110;"Sillon , respaldo con tela de red y asiento tapizado, giratoria, mecanismo syncro multipoint, regulable en altura, brazos fijos, apoyo lumbar regulable, base estrella plastica con ruedas de 60mm.";100000.0;0;"";28119;679
